order_id|customer_id|order_date|order_time|order_status|payment_method|shipping_address|shipping_city|shipping_state|shipping_postal_code|order_total|tax_amount|shipping_fee|discount_code|discount_amount|notes
1134|74|2025-05-13|09:48:11|shipped|credit_card|8911 Diane Knoll|Lake Cheyenne|OK|85046|5525.61|442.05|0.0||0.0|
1068|314|2025-05-01|09:48:11|pending|credit_card|07536 Ross Courts Suite 494|Lake Katrina|KS|18286|1033.86|82.53|2.24||0.0|
983|474|2025-06-07|09:48:11|processing|debit_card|4818 Jose Street|Suzanneburgh|OH|62582|319.13|25.53|0.05|HAPPEN|0.0|
1347|91|2025-06-23|09:48:11|processing|paypal|670 Vega Extensions Suite 324|Seanberg|AZ|80993|3290.86|265.26|14.57||39.49|Indicate black list yeah despite identify.
824|266|2025-04-27|09:48:11|cancelled|paypal|01367 Watts Extensions Suite 176|Cynthiamouth|MN|02021|4504.55|360.29|0.91||0.0|
1967|392|2025-07-23|09:48:11|shipped|paypal|9612 Ann Points Apt. 572|Staceytown|VT|78847|4547.19|366.94|0.0||39.51|
1980|95|2025-07-18|09:48:11|pending|paypal|51355 Daisy Corners Suite 704|East Heather|MI|34141|882.71|69.73|11.1||0.0|
1501|325|2025-08-27|09:48:11|cancelled|paypal|8810 Mccullough Squares Suite 413|Port Theresa|IN|40469|3083.79|248.01|13.28||29.58|Responsibility note because improve writer agent.
512|452|2025-04-18|09:48:11|cancelled|paypal|89743 Robert Trail|Lake Michaelmouth|AS|81094|1433.08|114.05|7.42||0.0|
55|53|2025-04-03|09:48:11|cancelled|paypal|45650 Williams Points Apt. 584|South Williamside|KY|82190|2926.58|233.79|4.21||0.0|
524|157|2025-09-28|09:48:11|delivered|paypal|371 Nguyen Run Apt. 111|Waltersland|NC|93205|2175.55|173.51|6.7||0.0|
470|488|2025-06-14|09:48:11|cancelled|bank_transfer|841 James Motorway Apt. 125|Jenniferburgh|ID|45686|1754.03|142.96|0.0|MUSIC|32.93|
1861|88|2025-08-21|09:48:11|shipped|debit_card|83670 Jennifer Course|East Phyllishaven|MT|92362|1797.65|143.81|0.0||0.0|
1240|335|2025-09-18|09:48:11|shipped|credit_card|90883 Tracy View|Dennishaven|DC|59987|113.05|8.42|7.85|YEAR|0.0|
385|46|2025-06-28|09:48:11|processing|credit_card|03054 Hays Plains Suite 403|Michaelton|VI|86449|899.22|71.94|0.0||0.0|Base husband account industry green five.
1041|163|2025-06-16|09:48:11|processing|debit_card|078 James Orchard Suite 521|East Jenny|NH|51302|4307.05|343.54|12.79||0.0|
1675|231|2025-09-17|09:48:11|shipped|paypal|8617 Rick Fort Apt. 489|Ashleymouth|CO|83836|4500.26|361.67|0.0||20.6|
1910|324|2025-08-09|09:48:11|delivered|paypal|56033 Brianna Forks Suite 890|East Samuelport|AZ|41674|484.74|40.11|1.96||18.64|Politics whose purpose dinner next significant property.
350|252|2025-06-12|09:48:11|processing|paypal|31552 Richard Island|North Diane|KY|85690|4150.48|331.42|7.79||0.0|
369|47|2025-06-21|09:48:11|processing|debit_card|54479 Jackson Mills|Hillton|CA|88474|3239.52|261.44|0.0||28.49|
549|113|2025-09-14|09:48:11|shipped|paypal|37589 Moran Lakes Suite 113|Jacquelineton|MH|22017|5296.21|423.7|0.0|OFFICIAL|0.0|
1057|6|2025-05-07|09:48:11|delivered|bank_transfer|6701 Richard Junction Apt. 333|Stevenland|NV|72633|792.85|65.05|3.0|GENERATION|23.25|Player everybody idea ever.
1247|293|2025-08-14|09:48:11|processing|bank_transfer|12166 Richard Circles Suite 597|Lake Judith|DE|36988|4298.0|343.14|8.73||0.0|Push trip catch.
646|438|2025-05-02|09:48:11|processing|debit_card|772 Jefferson Terrace Suite 084|Marcfort|NY|81193|2637.57|211.01|0.0||0.0|
1260|324|2025-09-14|09:48:11|shipped|paypal|56033 Brianna Forks Suite 890|East Samuelport|AZ|41674|3362.87|267.91|13.99||0.0|Not affect work I throughout day science cell.
1851|381|2025-04-26|09:48:11|pending|credit_card|5290 Welch Underpass Apt. 202|Port Lauraburgh|MO|42775|611.47|48.85|0.79|WHAT|0.0|
1064|273|2025-06-30|09:48:11|cancelled|debit_card|728 Gregory Lakes|New Michael|AR|55908|1654.63|131.1|15.94||0.0|
1597|201|2025-05-05|09:48:11|delivered|credit_card|65565 Donna Gateway Apt. 491|Port Kevinmouth|GA|03084|383.46|30.68|0.0||0.0|
91|353|2025-09-28|09:48:11|pending|debit_card|225 Tara Inlet|South Aaron|FL|26768|2582.24|207.52|1.61||13.42|
1191|97|2025-05-01|09:48:11|cancelled|credit_card|1497 Collin Ford|Lake Kelly|CO|62572|9567.68|767.7|0.0||28.56|
280|111|2025-04-27|09:48:11|delivered|debit_card|9027 Rodriguez Loop Suite 014|Alexanderhaven|WI|97969|461.68|36.76|2.18||0.0|Religious course meet word plant.
30|491|2025-09-20|09:48:11|shipped|bank_transfer|9866 Shawn Squares|South Michellefort|IA|53596|4543.65|362.28|15.11||0.0|
1742|417|2025-04-08|09:48:11|pending|bank_transfer|2925 David Ways Suite 875|West Marie|MS|72607|2563.04|205.04|0.0||0.0|
1326|395|2025-07-07|09:48:11|shipped|debit_card|272 Lisa Mills Apt. 908|Port Sarahport|CT|46252|1559.29|124.19|6.96||0.0|Pm list toward start everybody of PM.
805|225|2025-04-15|09:48:11|cancelled|credit_card|17490 Morgan Freeway|Lake Nicholas|WA|32958|8546.81|685.7|10.17||34.59|
115|26|2025-05-17|09:48:11|pending|debit_card|4997 Sean Orchard|Gibsonmouth|VI|25228|514.51|40.8|4.51||0.0|
64|194|2025-06-24|09:48:11|processing|credit_card|518 Morrow Bridge Apt. 845|East Ericbury|MP|25197|1360.2|111.68|0.0||35.8|
162|321|2025-07-15|09:48:11|processing|paypal|821 Patterson Lane Apt. 912|Craigfort|IN|07248|1214.3|99.68|10.01|SENSE|41.67|
1265|201|2025-05-30|09:48:11|shipped|bank_transfer|65565 Donna Gateway Apt. 491|Port Kevinmouth|GA|03084|5044.61|403.38|2.34||0.0|Everyone all floor than.
1290|401|2025-07-21|09:48:11|delivered|debit_card|48132 Matthew Stravenue Suite 071|New Allison|OH|21616|216.92|16.44|11.36||0.0|
1855|91|2025-06-26|09:48:11|shipped|paypal|670 Vega Extensions Suite 324|Seanberg|AZ|80993|2148.82|171.08|10.33|BEYOND|0.0|
250|332|2025-05-09|09:48:11|processing|credit_card|0216 Cannon Station|Newtonberg|VI|04967|2041.24|165.68|4.05||33.75|Media into inside he unit success.
375|63|2025-05-17|09:48:11|processing|bank_transfer|83028 Young Street Suite 995|West Nancy|TN|68822|4201.49|336.28|14.55||16.5|
1576|3|2025-07-07|09:48:11|processing|debit_card|653 William Course Apt. 122|Carlsonfurt|MS|78605|2771.39|225.23|2.5|THIRD|46.49|
632|468|2025-04-10|09:48:11|processing|credit_card|0739 Anthony Stream Apt. 546|Lake Bryan|MH|21350|875.92|70.07|0.0||0.0|
74|206|2025-07-06|09:48:11|cancelled|credit_card|34764 Tracy Landing|West Amyfort|TX|32790|1221.36|97.71|0.0|TRADITIONAL|0.0|
891|326|2025-09-19|09:48:11|shipped|bank_transfer|670 Cruz Cape Apt. 362|Patelport|AZ|71482|399.39|31.22|9.15||0.0|
1060|176|2025-05-21|09:48:11|shipped|credit_card|19470 Hernandez Route|Lake Mark|MO|75820|3895.7|311.11|6.82||0.0|
647|75|2025-06-13|09:48:11|pending|debit_card|9825 Timothy Hill Suite 112|New Timothy|NJ|13296|851.54|68.12|0.0||0.0|
488|100|2025-07-07|09:48:11|pending|credit_card|7997 Gerald Lodge Apt. 996|Lake Thomasview|MH|49317|3034.56|246.18|3.61||46.26|
1812|92|2025-06-28|09:48:11|shipped|credit_card|8759 Price Falls Apt. 593|Port Kimberlyton|AS|62325|1886.76|150.94|0.0||0.0|
1504|302|2025-08-05|09:48:11|processing|paypal|46199 Martin Ford|Hamiltonmouth|NE|78663|3970.74|316.66|12.5||0.0|Difference forget outside allow what blue glass.
271|146|2025-06-16|09:48:11|delivered|debit_card|113 Lopez Pine|Reeseshire|MI|88908|2677.74|214.22|0.0||0.0|
484|292|2025-08-03|09:48:11|cancelled|paypal|6692 Richardson Vista Suite 516|Bakerton|RI|84893|5458.19|439.55|0.0||36.18|
1204|357|2025-06-16|09:48:11|cancelled|credit_card|7509 King Junction|West Michael|AK|59060|819.12|65.53|0.0||0.0|
669|312|2025-08-13|09:48:11|pending|debit_card|25703 Howard Summit Apt. 361|Natalieside|MH|59387|3809.35|308.64|0.0||48.67|
1744|318|2025-06-23|09:48:11|delivered|debit_card|97052 Khan Mount Suite 025|West Rachel|NC|51700|1510.92|124.65|0.0||47.25|
1962|326|2025-07-16|09:48:11|delivered|paypal|670 Cruz Cape Apt. 362|Patelport|AZ|71482|1404.4|112.35|0.0||0.0|
1563|370|2025-09-09|09:48:11|delivered|bank_transfer|772 Cameron Meadows Suite 175|West Warren|MD|70021|3167.29|253.35|0.36||0.0|
1634|180|2025-04-21|09:48:11|processing|paypal|71002 Jasmine Ramp|Robertfort|UT|17133|2710.1|215.6|15.16||0.0|
715|110|2025-09-17|09:48:11|processing|credit_card|110 Melissa Shore Apt. 557|North Richard|NH|36130|1317.44|104.52|10.93||0.0|
877|483|2025-05-07|09:48:11|delivered|bank_transfer|85969 Dylan Port Apt. 408|Ashleyborough|HI|25453|2334.44|185.69|13.29||0.0|
554|388|2025-07-30|09:48:11|cancelled|credit_card|74555 Joshua Tunnel Apt. 574|East Angela|VI|72233|6487.67|519.01|0.0||0.0|
1986|14|2025-06-04|09:48:11|processing|bank_transfer|83172 Contreras Points Suite 798|Rivasside|NV|21362|4996.6|399.73|0.0||0.0|
1832|460|2025-08-25|09:48:11|cancelled|paypal|52291 Thomas Stream|East Joann|GU|89950|4778.56|384.29|9.32||34.42|
100|196|2025-04-26|09:48:11|shipped|bank_transfer|2893 Cory Prairie Apt. 833|Georgeside|AL|95573|5249.53|421.39|2.32||20.18|
628|486|2025-06-14|09:48:11|cancelled|debit_card|869 Solomon Loaf|North Darrylfurt|NY|26985|2526.91|204.41|8.24|DISCUSSION|36.4|
978|190|2025-07-15|09:48:11|shipped|paypal|1509 Brandy Forges Suite 301|Rhodesland|NY|52198|5242.0|418.76|7.47||0.0|
667|374|2025-06-11|09:48:11|shipped|debit_card|80850 Forbes Parkways Suite 874|Cynthialand|OK|12578|4710.8|376.74|1.5||0.0|
561|185|2025-06-21|09:48:11|delivered|debit_card|62570 Paul Spurs Suite 804|Mullinsside|OK|27652|5931.8|474.0|6.76||0.0|
344|487|2025-06-19|09:48:11|delivered|paypal|620 Walker Harbors Suite 077|North Jennifer|NV|18815|1635.72|130.86|0.0||0.0|
1949|100|2025-08-29|09:48:11|delivered|credit_card|7997 Gerald Lodge Apt. 996|Lake Thomasview|MH|49317|1391.96|111.2|1.94||0.0|
66|48|2025-05-30|09:48:11|processing|credit_card|92856 Banks Gateway Apt. 027|Mcintyreville|KS|34617|1318.98|104.53|12.39||0.0|
1197|18|2025-04-19|09:48:11|shipped|paypal|919 Michael Meadow Suite 185|Yumouth|VT|20553|4012.42|320.27|9.09|SAME|0.0|
1331|172|2025-08-24|09:48:11|pending|debit_card|19292 Wood Extensions Suite 372|Port Tyler|MT|50723|5934.4|478.42|0.0||45.83|
1306|423|2025-08-23|09:48:11|delivered|paypal|971 Jason Locks|Johnsonfort|NE|61541|4221.56|337.46|3.37|HUMAN|0.0|
739|444|2025-09-04|09:48:11|pending|bank_transfer|870 Jones Isle Apt. 482|North Dustinside|KY|08350|1492.69|119.26|1.96||0.0|
418|14|2025-08-08|09:48:11|delivered|debit_card|83172 Contreras Points Suite 798|Rivasside|NV|21362|1795.57|143.09|6.97||0.0|
749|103|2025-05-08|09:48:11|shipped|paypal|589 Evans Coves|Michelleview|SD|93705|1064.21|87.94|13.1||48.11|
724|258|2025-08-30|09:48:11|delivered|bank_transfer|119 Olsen Grove Apt. 640|Port Travis|CT|09655|4101.43|327.66|5.62|FOUR|0.0|Their research physical large provide.
519|346|2025-07-08|09:48:11|shipped|paypal|767 Turner Trace|Schroederfort|MI|41364|3344.75|266.6|12.29|HEALTH|0.0|
1640|420|2025-09-12|09:48:11|delivered|paypal|28094 Hawkins Pass Suite 239|Matthewmouth|MH|34624|3638.3|292.81|10.47||32.3|
1488|38|2025-05-07|09:48:11|processing|paypal|68388 Jones Wall|South Andrewland|VI|41534|2617.94|210.6|15.49||30.09|
1453|455|2025-07-13|09:48:11|cancelled|debit_card|44881 Tonya Well Apt. 031|Tammyville|WV|59652|2778.28|224.43|14.24||41.32|
1749|368|2025-08-04|09:48:11|cancelled|bank_transfer|233 Thompson Rest Suite 841|Lake Mariah|CA|17874|4297.07|343.38|4.83||0.0|
1095|40|2025-04-06|09:48:11|processing|paypal|147 Johnson Land Suite 119|Fordside|WY|97352|2938.32|233.8|15.77||0.0|
510|97|2025-05-16|09:48:11|shipped|debit_card|1497 Collin Ford|Lake Kelly|CO|62572|4489.25|362.54|0.85||43.32|
1645|135|2025-06-13|09:48:11|pending|debit_card|7292 Lisa Stravenue Suite 386|Shafferburgh|MT|65984|2860.34|227.7|14.06||0.0|
1654|60|2025-09-27|09:48:11|processing|debit_card|8783 Erin Ranch Apt. 878|Port Amyhaven|ID|75566|2147.82|171.83|0.0||0.0|
1690|171|2025-09-19|09:48:11|processing|paypal|7879 Fisher Union|Jessicashire|KS|08551|1924.05|153.07|10.62||0.0|
1431|389|2025-07-09|09:48:11|delivered|credit_card|755 Huang Throughway Apt. 250|East Bonniehaven|UT|84689|2339.97|186.56|8.01||0.0|
1963|287|2025-05-14|09:48:11|pending|debit_card|25213 Alexander Village|Hernandezburgh|NJ|97960|4790.14|382.94|3.42||0.0|
805|225|2025-04-15|09:48:11|cancelled|credit_card|17490 Morgan Freeway|Lake Nicholas|WA|32958|8546.81|685.7|10.17||34.59|
82|263|2025-07-27|09:48:11|cancelled|paypal|9040 Melanie Manors Suite 528|North Randall|ND|60873|1525.83|120.83|15.45||0.0|
1324|414|2025-08-01|09:48:11|shipped|paypal|0425 Sutton Meadow Apt. 928|Annettefort|CA|02822|3525.87|282.07|0.0||0.0|
1780|355|2025-06-09|09:48:11|processing|debit_card|6156 Ronald Haven|Paulfort|AZ|34713|1814.95|144.42|9.65||0.0|
754|102|2025-08-11|09:48:11|pending|bank_transfer|140 Williams Walk Apt. 333|Denisehaven|AK|89918|1595.85|126.4|15.83||0.0|
1028|62|2025-04-19|09:48:11|delivered|bank_transfer|04786 Morrow Gateway|Reedview|ID|95531|6668.98|532.9|7.78||0.0|Community wear allow soldier study.
1142|199|2025-06-04|09:48:11|shipped|paypal|70269 Hernandez Road|Harrisfort|NM|66665|2953.68|235.78|6.38||0.0|
1439|48|2025-07-27|09:48:11|pending|paypal|92856 Banks Gateway Apt. 027|Mcintyreville|KS|34617|621.99|50.31|0.0||6.93|
590|115|2025-05-06|09:48:11|cancelled|credit_card|39452 William Square|Jenniferstad|OH|63464|2898.55|231.4|6.03||0.0|
483|350|2025-04-29|09:48:11|cancelled|debit_card|34324 Nicolas Heights Apt. 429|Robertborough|KY|26613|4987.0|398.96|0.0||0.0|
756|146|2025-08-28|09:48:11|delivered|credit_card|113 Lopez Pine|Reeseshire|MI|88908|5566.1|444.11|14.68||0.0|
1379|11|2025-09-14|09:48:11|cancelled|credit_card|16073 Lisa Mount Suite 433|Lake Jamesmouth|KY|09600|2785.89|226.0|0.0||39.1|
134|472|2025-08-08|09:48:11|delivered|credit_card|2182 Mitchell Pike Apt. 224|West Nicolaston|NY|57476|4551.02|363.26|10.22||0.0|
270|9|2025-05-29|09:48:11|pending|credit_card|8498 Elizabeth Plaza|Sarahville|FM|18102|3913.22|313.06|0.0|COLLECTION|0.0|
439|454|2025-04-09|09:48:11|cancelled|paypal|60601 Nichols Plains Suite 084|Kimberlybury|MS|74000|4413.2|356.3|5.02||45.51|
1958|490|2025-04-10|09:48:11|cancelled|credit_card|02179 Curtis Fields|Jessicafort|WY|96344|2578.83|205.23|13.4|SPECIAL|0.0|
264|37|2025-09-21|09:48:11|processing|bank_transfer|6797 Nelson Throughway Apt. 561|Erikashire|NM|69567|5031.83|401.94|7.53|THEN|0.0|
1945|296|2025-07-30|09:48:11|cancelled|bank_transfer|90550 Mosley Parkway|Lake Victormouth|MT|54291|2555.08|204.3|1.28|SERVICE|0.0|
677|171|2025-08-31|09:48:11|shipped|credit_card|7879 Fisher Union|Jessicashire|KS|08551|6117.23|488.6|9.67||0.0|
476|244|2025-09-29|09:48:11|pending|debit_card|4602 Hall Rue Apt. 514|North Michaelside|ID|44247|2112.24|167.83|14.32||0.0|
1725|13|2025-04-06|09:48:11|cancelled|debit_card|69957 Ramos Forest Suite 214|Clarencebury|TX|41188|6594.49|527.56|0.0||0.0|
1002|405|2025-08-31|09:48:11|processing|paypal|27599 Erica Turnpike Apt. 100|West Melissamouth|MH|47253|2365.68|188.53|9.1||0.0|
1643|442|2025-04-04|09:48:11|pending|credit_card|04787 Pierce Stream Suite 878|Alexandrachester|GA|66450|7039.8|562.68|6.34||0.0|Team could author never who.
72|283|2025-05-11|09:48:11|delivered|debit_card|14290 Susan Coves|Melissaland|ID|18750|5797.02|463.05|8.87||0.0|
195|61|2025-08-08|09:48:11|cancelled|bank_transfer|740 Scott Alley|Cooperland|ND|08398|5460.25|436.39|5.34||0.0|
1207|172|2025-08-11|09:48:11|shipped|paypal|19292 Wood Extensions Suite 372|Port Tyler|MT|50723|2717.28|216.55|10.4||0.0|Lose during find old foot voice economic.
1289|202|2025-08-27|09:48:11|processing|credit_card|357 Jackson Hills|Taraborough|NM|83789|907.02|71.48|13.54||0.0|
1045|266|2025-08-22|09:48:11|processing|bank_transfer|01367 Watts Extensions Suite 176|Cynthiamouth|MN|02021|5794.52|466.26|0.98|PREPARE|34.74|
1785|253|2025-04-13|09:48:11|delivered|paypal|571 Smith Prairie|East Andrewville|ME|31485|2997.57|239.48|4.13||0.0|
598|108|2025-08-04|09:48:11|pending|debit_card|010 Hannah Mall|Jamesside|KS|62681|2581.63|209.28|11.63||46.06|
929|20|2025-06-28|09:48:11|pending|debit_card|855 Nelson Glen Apt. 135|Lake Amandaburgh|ID|28862|4503.83|360.08|2.83||0.0|
849|184|2025-05-31|09:48:11|cancelled|debit_card|633 Hamilton Forges|North Vickiehaven|AZ|56298|4260.28|342.47|9.27||29.82|Own season old just their pay Mrs.
156|280|2025-05-20|09:48:11|shipped|bank_transfer|686 Lawson Ford Apt. 029|Gordonhaven|KS|40269|5010.63|399.58|15.87||0.0|
88|315|2025-09-29|09:48:11|cancelled|credit_card|7667 Rita Burg Suite 129|Kristinshire|NY|49405|4957.77|399.72|5.94||44.64|
1062|482|2025-09-09|09:48:11|cancelled|debit_card|33591 Curtis Land Suite 090|Victoriashire|VT|08999|2131.39|169.31|15.05|AT|0.0|
558|446|2025-05-28|09:48:11|pending|debit_card|37271 Elizabeth Valleys Suite 957|Barbaraside|FM|97771|6267.38|502.24|0.0|ENOUGH|10.65|
685|185|2025-08-26|09:48:11|shipped|bank_transfer|62570 Paul Spurs Suite 804|Mullinsside|OK|27652|1884.32|154.43|0.0|MANAGEMENT|46.08|
1738|255|2025-07-01|09:48:11|processing|credit_card|742 John Fall Apt. 449|Faulknerborough|KY|63569|4066.45|325.32|0.0||0.0|
414|320|2025-07-25|09:48:11|shipped|debit_card|762 James Overpass|South Lisa|AS|25705|5011.89|402.28|0.0||16.67|
1215|461|2025-08-31|09:48:11|shipped|debit_card|694 Wright Walks Apt. 649|Lake Johnny|DC|76079|3936.03|318.16|0.0|NOR|41.03|
145|465|2025-09-06|09:48:11|cancelled|paypal|464 Willis Road|Santiagoshire|OK|47278|2850.15|228.01|0.0|MISS|0.0|
1307|373|2025-05-30|09:48:11|pending|debit_card|493 Samuel Islands|East Kelseyland|VI|92153|2245.66|178.4|15.69|BUT|0.0|
73|362|2025-06-21|09:48:11|processing|credit_card|1588 Perez Lodge Suite 747|New Mariamouth|SD|23080|1874.18|149.36|7.14||0.0|
1249|383|2025-04-04|09:48:11|delivered|credit_card|929 Lauren Lake Apt. 825|North Erin|SC|83641|457.58|35.95|8.16||0.0|
1314|475|2025-09-16|09:48:11|delivered|bank_transfer|03625 Lewis Inlet Suite 170|Carterfurt|GA|46989|6374.37|509.75|2.46||0.0|Call fight may fear sound participant.
962|218|2025-05-17|09:48:11|delivered|credit_card|6012 Joanne Mills|East Kenneth|MP|51846|63.18|7.58|0.0||31.56|
1281|185|2025-06-25|09:48:11|pending|bank_transfer|62570 Paul Spurs Suite 804|Mullinsside|OK|27652|3555.4|283.86|7.12||0.0|
1573|237|2025-08-03|09:48:11|shipped|credit_card|110 Nicholas Vista Apt. 207|North Ericaside|AR|39156|2098.98|170.71|13.0||47.92|
1308|236|2025-07-05|09:48:11|cancelled|paypal|750 Lee Common Apt. 361|East Frank|ME|08738|6807.15|543.35|15.28||0.0|
910|250|2025-08-26|09:48:11|cancelled|bank_transfer|18372 Hoover Ville Apt. 209|East Kellyside|WA|51730|3887.35|310.61|4.75||0.0|Production do meeting which.
183|442|2025-08-23|09:48:11|processing|debit_card|04787 Pierce Stream Suite 878|Alexandrachester|GA|66450|2331.59|186.53|0.0||0.0|
152|295|2025-09-08|09:48:11|pending|bank_transfer|9608 Christian Shores Apt. 550|Danielchester|KS|68749|862.78|68.58|5.57||0.0|
210|278|2025-07-03|09:48:11|cancelled|paypal|47554 Collin Bridge Apt. 555|Johnview|IL|77089|5529.73|444.84|0.0|FIRE|30.83|
1099|76|2025-09-14|09:48:11|shipped|credit_card|0937 Price Squares Apt. 341|Port Monicaburgh|MN|43228|2442.08|195.51|4.41||6.24|
576|99|2025-07-26|09:48:11|delivered|bank_transfer|23320 Miller Springs Suite 329|Luisland|CO|51369|302.16|23.37|9.98|MAGAZINE|0.0|
1693|100|2025-05-03|09:48:11|cancelled|debit_card|7997 Gerald Lodge Apt. 996|Lake Thomasview|MH|49317|2095.98|168.62|15.93|FUTURE|27.65|
1704|352|2025-04-08|09:48:11|cancelled|paypal|78207 Watkins Square Suite 673|Jennifermouth|NJ|89440|5669.39|452.41|14.24||0.0|
1496|255|2025-08-22|09:48:11|processing|paypal|742 John Fall Apt. 449|Faulknerborough|KY|63569|4112.99|328.79|3.14|PAGE|0.0|
812|311|2025-04-15|09:48:11|processing|paypal|1009 Conley Pine|Lindamouth|NV|64813|3997.06|321.42|0.0||20.66|
300|411|2025-08-02|09:48:11|cancelled|paypal|4538 Diana Springs|North Troyton|RI|99545|2377.38|189.75|5.48||0.0|
1423|99|2025-09-25|09:48:11|pending|bank_transfer|23320 Miller Springs Suite 329|Luisland|CO|51369|2563.98|204.59|6.57||0.0|
79|400|2025-06-20|09:48:11|shipped|bank_transfer|13062 Kathryn Valley Apt. 369|Samuelberg|NV|78751|2990.14|238.96|3.2||0.0|Spring various time least.
1065|326|2025-04-21|09:48:11|cancelled|debit_card|670 Cruz Cape Apt. 362|Patelport|AZ|71482|7394.95|593.23|12.01||32.43|
322|75|2025-07-11|09:48:11|delivered|debit_card|9825 Timothy Hill Suite 112|New Timothy|NJ|13296|298.17|23.79|0.85||0.0|Resource second receive ask message may.
781|377|2025-07-07|09:48:11|delivered|bank_transfer|28981 Katherine Crest|Yangstad|WA|42035|4766.05|380.02|15.83||0.0|
525|276|2025-07-16|09:48:11|shipped|credit_card|4471 Wright Drives Apt. 341|Virginiabury|TN|56751|1832.43|150.53|0.52||49.74|
352|498|2025-06-26|09:48:11|cancelled|paypal|25936 Luna Pine|East Laurenmouth|PR|42092|4187.94|334.67|4.55||0.0|
1829|478|2025-04-12|09:48:11|processing|credit_card|30091 Osborne Creek|Lake Nicholas|NJ|83972|2854.71|228.13|3.12||0.0|
1624|401|2025-05-24|09:48:11|cancelled|credit_card|48132 Matthew Stravenue Suite 071|New Allison|OH|21616|4322.89|345.52|3.88||0.0|
1446|284|2025-09-29|09:48:11|cancelled|bank_transfer|30366 Michael Heights|Lake Paul|FM|94197|768.56|64.73|5.48||46.07|
1426|352|2025-04-20|09:48:11|pending|paypal|78207 Watkins Square Suite 673|Jennifermouth|NJ|89440|343.16|27.45|0.0|CHOICE|0.0|
743|308|2025-05-14|09:48:11|pending|debit_card|46249 Dylan Wells|Lake Danieltown|MH|60905|2368.38|189.14|4.07||0.0|
1228|379|2025-08-03|09:48:11|shipped|bank_transfer|20734 Garrett Ville Suite 950|West Anthonyfort|AZ|96832|326.57|26.13|0.0||0.0|
1950|128|2025-05-17|09:48:11|processing|bank_transfer|0863 Clarke Light Suite 991|Andersonfort|WI|30976|6855.08|547.58|10.33||0.0|
764|396|2025-05-30|09:48:11|processing|credit_card|2373 Williams Circle|Lake Dianahaven|OK|75878|1912.44|153.0|0.0||0.0|
1332|214|2025-09-21|09:48:11|pending|paypal|2361 Melissa Estates Suite 642|West Travischester|WA|41146|6520.37|520.61|12.8||0.0|
936|112|2025-04-20|09:48:11|shipped|bank_transfer|3540 Andrea Lane Suite 317|Solismouth|CO|65834|4703.88|376.31|0.0||0.0|
1408|259|2025-04-18|09:48:11|shipped|paypal|30234 Alexander Road|South Davidland|MA|04389|1138.7|93.66|0.0||32.02|
779|5|2025-05-01|09:48:11|shipped|bank_transfer|8713 Caleb Brooks Apt. 930|Lake Crystalbury|CA|04618|2215.96|176.65|7.81||0.0|
1135|369|2025-08-18|09:48:11|shipped|paypal|749 Bonnie Wall|Gayview|WV|53869|698.0|55.84|0.0|SINGLE|0.0|
374|340|2025-09-17|09:48:11|processing|paypal|0244 Jerry Trail Apt. 041|Riosberg|GU|97563|2210.52|176.45|4.95|PRESSURE|0.0|
